Gene ID,Gene Description,Gene Accession Number
450,IL3RA Interleukin 3 receptor; alpha (low affinity),D49410_at
451,TTPA Tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency),D49488_at
452,Protein disulfide isomerase-related protein P5,D49489_at
453,Protein disulfide isomerase-related protein (PDIR),D49490_at
454,Bone morphogenetic protein-3b,D49493_at
455,U2AF1-RS2 mRNA,D49677_at
456,Cytoskeleton associated protein (CG22) mRNA,D49738_at
457,HGF activator like protein,D49742_at
458,Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase,D49817_at
459,Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase; partial cds,D49818_at
460,Liver mRNA for interferon-gamma inducing factor(IGIF),D49950_at
461,Fetus brain mRNA for membrane glycoprotein M6,D49958_at
462,Proteasome subunit p40_/ Mov34 protein,D50063_at
463,CANX Calnexin,D50310_at
464,UKATP-1,D50312_at
465,Nucleosome assembly protein,D50370_at
466,NRAMP1 Natural resistance-associated macrophage protein 1 (might include Leishmaniasis),D50402_at
467,RNA helicase (HRH1),D50487_at
468,Transcription elongation factor S-II; hS-II-T1,D50495_at
469,GB DEF = TI-227H,D50525_at
470,Macrophage lectin 2,D50532_at
471,GB DEF = Inward rectifier K channel,D50582_at
472,DNA for phosphodieaterase 3B,D50640_at
473,SDF2,D50645_at
474,CW-1 mRNA,D50663_at
475,Apolipoprotein E receptor 2,D50678_at
476,TGFBR2 Transforming growth factor; beta receptor II (70-80kD),D50683_at
477,C-myc binding protein,D50692_at
478,Placental leucine aminopeptidase,D50810_at
479,Ceramide glucosyltransferase,D50840_at
480,DOCK180 protein mRNA,D50857_at
481,TESK1,D50863_at
482,KIAA0121 gene,D50911_at
483,KIAA0122 gene; partial cds,D50912_at
484,KIAA0123 gene; partial cds,D50913_at
485,KIAA0124 gene; partial cds,D50914_at
486,KIAA0125 gene,D50915_at
487,KIAA0126 gene,D50916_at
488,KIAA0127 gene,D50917_at
489,KIAA0128 gene; partial cds,D50918_at
490,KIAA0129 gene,D50919_at
491,KIAA0130 gene,D50920_at
492,KIAA0132 gene,D50922_at
493,KIAA0133 gene,D50923_at
494,KIAA0134 gene,D50924_at
495,Serine/threonine kinase mRNA; partial cds,D50925_at
496,KIAA0136 gene; partial cds,D50926_at
497,KIAA0137 gene,D50927_at
498,KIAA0138 gene,D50928_at
499,KIAA0140 gene,D50930_at
500,KIAA0141 gene,D50931_at
501,GB DEF = B-cell PABL (pseudoautosomal boundary-like sequence) mRNA; clone Bc4,D55638_at
502,GB DEF = Monocyte PABL (pseudoautosomal boundary-like sequence) mRNA; clone Mo2,D55640_at
503,MDH1 Malate dehydrogenase 1; NAD (soluble),D55654_at
504,Cysteine protease,D55696_at
505,DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG,D55716_at
506,Reg-related sequence derived peptide-1,D56495_at
507,NCBP interacting protein 1,D59253_at
508,DJ-1 protein,D61380_at
509,Phosphoribosypyrophosphate synthetase-associated protein 39,D61391_at
510,GB DEF = ETS-like 30 kDa protein,D63134_at
511,GB DEF = ETS-like 30 kDa protein,D63135_at
512,Serum lectin P35,D63160_at
513,Acetylhydrolase IB beta-subunit,D63390_at
514,Platelet activating factor acetylhydrolase IB gamma-subunit,D63391_at
515,AQP4 Aquaporin 4,D63412_at
516,KIAA0109 gene,D63475_at
517,KIAA0142 gene,D63476_at
518,KIAA0143 gene; partial cds,D63477_at
519,KIAA0144 gene,D63478_at
520,KIAA0146 gene; partial cds,D63480_at
521,KIAA0147 gene; partial cds,D63481_at
522,KIAA0148 gene,D63482_at
523,KIAA0149 gene,D63483_at
524,KIAA0150 gene; partial cds,D63484_at
525,KIAA0151 gene,D63485_at
526,KIAA0152 gene,D63486_at
527,KIAA0153 gene; partial cds,D63487_at
528,Unc-18homologue,D63506_at
529,Rod photoreceptor protein,D63813_at
530,Unc-18 homologue,D63851_at
531,HMG1 High-mobility group (nonhistone chromosomal) protein 1,D63874_at
532,KIAA0155 gene,D63875_at
533,KIAA0154 gene; partial cds,D63876_at
534,KIAA0241 gene; partial cds,D63877_at
535,PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR,D63878_at
536,KIAA0156 gene,D63879_at
537,KIAA0159 gene,D63880_at
538,KIAA0160 gene; partial cds,D63881_at
539,MANA2 Mannosidase; alpha type II,D63998_at
540,Tob family,D64109_at
541,Tob family,D64110_at
542,Histone H1x,D64142_at
543,Mr 110;000 antigen,D64154_at
544,ATP binding protein associated with cell differentiation; partial cds,D64158_at
545,GB DEF = 3-7 gene product; partial cds,D64159_at
546,SEC14L SEC14 (S. cerevisiae)-like,D67029_at
547,Doc2 beta,D70830_at
548,Zic protein,D76435_at
549,Hkf-1 mRNA,D76444_at
550,Dihydropyrimidinase,D78011_at
551,CRMP1 Collapsin response mediator protein 1,D78012_at
552,Dihydropyrimidinase related protein-3,D78014_at
553,GB DEF = Adult (34 year old) Male liver mRNA for squalene epoxidase; partial cds,D78129_at
554,YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; zeta polypeptide,D78134_at
555,55.11 binding protein,D78151_at
556,GB DEF = RasGTPase activating protein; partial cds,D78156_at
557,ICSAT transcription factor mRNA; partial cds; similar to mouse Pip/LSIRF ( IRF-4) sequence,D78261_at
558,Proteasome subunit p42,D78275_at
559,Testis-specific TCP20,D78333_at
560,Ankyrin motif,D78334_at
561,5'-terminal region of UMK,D78335_at
562,Ornithine decarboxylase antizyme; ORF 1 and ORF 2,D78361_at
563,K12 keratin,D78367_at
564,Ubiquitin-conjugating enzyme,D78514_at
565,CAD PROTEIN,D78586_at
566,MEST Mesoderm specific transcript (mouse) homolog,D78611_at
567,Ribosomal protein L39,D79205_at
568,KIAA0161 gene,D79983_at
569,A cell surface protein,D79985_at
570,KIAA0164 gene,D79986_at
571,KIAA0165 gene,D79987_at
572,KIAA0166 gene,D79988_at
573,KIAA0167 gene,D79989_at
574,KIAA0168 gene,D79990_at
575,KIAA0169 gene; partial cds,D79991_at
576,KIAA0170 gene,D79992_at
577,KIAA0171 gene,D79993_at
578,KIAA0172 gene; partial cds,D79994_at
579,KIAA0173 gene,D79995_at
580,KIAA0174 gene,D79996_at
581,KIAA0175 gene,D79997_at
582,KIAA0176 gene; partial cds,D79998_at
583,KIAA0177 gene; partial cds,D79999_at
584,KIAA0179 gene; partial cds,D80001_at
585,KIAA0180 gene; partial cds,D80002_at
586,KIAA0181 gene; partial cds,D80003_at
587,KIAA0182 gene; partial cds,D80004_at
588,KIAA0183 gene; partial cds,D80005_at
589,KIAA0184 gene; partial cds,D80006_at
590,KIAA0185 gene; partial cds,D80007_at
591,KIAA0186 gene,D80008_at
592,KIAA0187 gene,D80009_at
593,KIAA0188 gene; partial cds,D80010_at
594,KIAA0189 gene,D80011_at
595,KIAA0190 gene; partial cds,D80012_at
596,Kidney mRNA for putative membrane protein with histidine rich charge clusters,D82060_at
597,B-cell mRNA for a member of the short-chain alcohol dehydrogenase family; partial cds,D82061_at
598,AC1 mRNA,D82070_at
599,Amino acid transport-related protein mRNA,D82326_at
600,AMY,D82343_at
601,NBPhox,D82344_at
602,NB thymosin beta,D82345_at
603,HNSPC,D82346_at
604,5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase,D82348_at
605,Epidermoid carcinoma mRNA for ubiquitin-conjugating enzyme E2 similar to Drosophila bendless gene product,D83004_at
606,Nel-related protein 2,D83018_at
607,Nuclear protein; NP220,D83032_at
608,Tumor necrosis factor type 1 receptor associated protein (TRAP1) mRNA; partial cds,D83195_at
609,ATM Ataxia telangiectasia mutated (includes complementation groups A; C and D),D83243_at
610,ZAKI-4 mRNA in human skin fibroblast,D83407_at
611,Cadherin-15,D83542_at
612,RP105,D83597_at
613,Calcium-binding protein in amniotic fluid 1,D83657_at
614,Brain 3'UTR of mRNA for neuronal death protein; partial sequence,D83699_at
615,Brain mRNA for photolyase homolog,D83702_at
616,Peroxisome assembly factor-2,D83703_at
617,Adult heart mRNA for neutral calponin,D83735_at
618,Clone N9 Rep-8 mRNA,D83767_at
619,KIAA0191 gene; partial cds,D83776_at
620,KIAA0193 gene,D83777_at
621,KIAA0194 gene; partial cds,D83778_at
622,KIAA0195 gene,D83779_at
623,KIAA0196 gene,D83780_at
624,KIAA0197 gene; partial cds,D83781_at
625,KIAA0199 gene; partial cds,D83782_at
626,KIAA0192 gene; partial cds,D83783_at
627,KIAA0198 gene; partial cds,D83784_at
628,KIAA0200 gene,D83785_at
629,FCN1 Ficolin (collagen/fibrinogen domain-containing) 1,D83920_at
630,RBP-MS/type 1,D84110_at
631,WS-3 mRNA,D84145_at
632,IgG Fc binding protein,D84239_at
633,CD38 CD38 antigen (p45),D84276_at
634,TPRD,D84294_at
635,Phosphoethanolamine cytidylyltransferase,D84307_at
636,P52 and p64 isoforms of N-Shc,D84361_at
637,Fetal brain mRNA for hyaluronan synthase,D84424_at
638,UDP-galactose translocator,D84454_at
639,P105MCM mRNA,D84557_at
640,Thymosin beta-4 mRNA,D85181_at
641,TR3beta,D85245_at
642,TRHR Thyrotropin-releasing hormone receptor,D85376_at
643,Phosphatidylinositol-glycan-class C (PIG-C),D85418_at
644,GB DEF = Cdc5; partial cds,D85423_at
645,DNAJ PROTEIN HOMOLOG 1,D85429_at
646,GB DEF = MURR1 mRNA; sequence,D85433_at
647,GB DEF = LIM domain; partial cds,D85527_at
648,Enhancer of rudimentary homolog mRNA,D85758_at
649,DNA for rhoHP1,D85815_at
650,P97 homologous protein,D85939_at
651,EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype,D86096_cds3_at
652,Osteoblast mRNA for osteonidogen,D86425_at
653,Non-lens beta gamma-crystallin like protein (AIM1) mRNA; partial cds,D86479_at
654,Truncated pancreatic polypeptide receptor PP2 mRNA,D86519_at
655,P97 homologous protein; partial cds,D86549_at
656,Stac,D86640_at
657,KIAA0201 gene,D86956_at
658,KIAA0202 gene; partial cds,D86957_at
659,KIAA0204 gene,D86959_at
660,KIAA0205 gene,D86960_at
661,KIAA0206 gene; partial cds,D86961_at
662,KIAA0207 gene,D86962_at
663,PTB Ribosomal protein L26,D86963_at
664,KIAA0209 gene; partial cds,D86964_at
665,KIAA0210 gene,D86965_at
666,KIAA0211 gene,D86966_at
667,KIAA0212 gene,D86967_at
668,KIAA0213 gene; partial cds,D86968_at
669,KIAA0215 gene,D86969_at
670,KIAA0216 gene,D86970_at
671,KIAA0217 gene; partial cds,D86971_at
672,KIAA0218 gene,D86972_at
673,KIAA0219 gene; partial cds,D86973_at
674,KIAA0222 gene,D86975_at
675,KIAA0223 gene; partial cds,D86976_at
676,KIAA0224 gene,D86977_at
677,KIAA0225 gene; partial cds,D86978_at
678,KIAA0226 gene,D86979_at
679,KIAA0227 gene; partial cds,D86980_at
680,KIAA0228 gene; partial cds,D86981_at
681,KIAA0229 gene; partial cds,D86982_at
682,KIAA0230 gene; partial cds,D86983_at
683,KIAA0231 gene; partial cds,D86984_at
684,KIAA0232 gene,D86985_at
685,5'OY11.1 gene extracted from Human (lambda) DNA for immunogloblin light chain,D87009_cds3_at
686,GB DEF = (lambda) DNA for immunoglobin light chain,D87011_at
687,GB DEF = (lambda) DNA for immunoglobin light chain,D87012_at
688,J1 gene extracted from Human (lambda) DNA for immunoglobin light chain,D87023_cds2_at
689,GB DEF = (lambda) DNA for immunoglobin light chain,D87024_at
690,KIAA0233 gene,D87071_at
691,KIAA0236 gene,D87073_at
692,KIAA0237 gene,D87074_at
693,KIAA0238 gene; partial cds,D87075_at
694,KIAA0239 gene; partial cds,D87076_at
695,KIAA0240 gene; partial cds,D87077_at
696,KIAA0235 gene; partial cds,D87078_at
697,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3,D87116_at
698,Cancellous bone osteoblast mRNA for GS3955,D87119_at
699,Cancellous bone osteoblast mRNA for GS3786,D87120_at
700,Translocation protein-1,D87127_at
701,Cancellous bone osteoblast mRNA for serin protease with IGF-binding motif,D87258_at
702,Rhodanese,D87292_at
703,HLCS Holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase),D87328_at
704,KIAA0245 gene,D87432_at
705,KIAA0246 gene; partial cds,D87433_at
706,KIAA0247 gene,D87434_at
707,ARF3 ADP-ribosylation factor 3,D87435_at
708,KIAA0249 gene,D87436_at
709,KIAA0250 gene,D87437_at
710,KIAA0251 gene; partial cds,D87438_at
711,KIAA0252 gene; partial cds,D87440_at
712,KIAA0253 gene; partial cds,D87442_at
713,KIAA0254 gene,D87443_at
714,KIAA0255 gene,D87444_at
715,KIAA0256 gene,D87445_at
716,KIAA0257 gene; partial cds,D87446_at
717,KIAA0258 gene,D87447_at
718,KIAA0259 gene; partial cds,D87448_at
719,KIAA0260 gene; partial cds,D87449_at
720,KIAA0261 gene; partial cds,D87450_at
721,KIAA0262 gene,D87451_at
722,KIAA0263 gene,D87452_at
723,KIAA0264 gene; partial cds,D87453_at
724,KIAA0265 gene; partial cds,D87454_at
725,KIAA0266 gene,D87455_at
726,KIAA0281 gene,D87457_at
727,KIAA0282 gene; partial cds,D87458_at
728,KIAA0269 gene,D87459_at
729,KIAA0270 gene; partial cds,D87460_at
730,KIAA0271 gene,D87461_at
731,KIAA0272 gene; partial cds,D87462_at
732,KIAA0273 gene,D87463_at
733,KIAA0274 gene,D87464_at
734,KIAA0275 gene,D87465_at
735,KIAA0276 gene; partial cds,D87466_at
736,KIAA0277 gene,D87467_at
737,KIAA0278 gene; partial cds,D87468_at
738,KIAA0279 gene; partial cds,D87469_at
739,KIAA0280 gene; partial cds,D87470_at
740,Heat shock transcription factor 4,D87673_at
741,KIAA0241 gene; partial cds,D87682_at
742,KIAA0243 gene; partial cds,D87683_at
743,KIAA0242 gene; partial cds,D87684_at
744,KIAA0244 gene; partial cds,D87685_at
745,CAG-isl 7 {trinucleotide repeat-containing sequence} [human; pancreas; mRNA Partial; 701 nt],D87735_at
746,KIAA0268 gene; partial cds,D87742_at
747,KIAA0267 gene; partial cds,D87743_at
748,Platelet-activating factor acetylhydrolase 2,D87845_at
749,GB DEF = Alpha(1;2)fucosyltransferase; 5'UTR partial sequence,D87937_at
750,RTP,D87953_at
751,Male foreskin fibroblast DNA for protein involved in sexual development,D87957_at
752,CMP-sialic acid transporter,D87969_at
753,UDP-galactose transporter related isozyme 1,D87989_at
754,UDP-galactose transporter 2,D88146_at
755,Acetyl-coenzyme A transporter,D88152_at
756,Retina-specific amine oxidase,D88213_at
757,GB DEF = (lambda) DNA for immunoglobin light chain,D88270_at
758,Proteasome inhibitor hPI31 subunit,D88378_at
759,CYSTATIN A,D88422_at
760,GB DEF = N-WASP,D88460_at
761,P55pik,D88532_at
762,HGCMa,D88613_at
763,Cerebroside sulfotransferase,D88667_at
764,GB DEF = Cadherin; partial cds,D88795_at
765,GB DEF = Cadherin; partial cds,D88797_at
766,GB DEF = Cadherin; partial cds,D88799_at
767,Neuroblastoma,D89016_at
768,Lectin-like oxidized LDL receptor,D89050_at
769,Proton-ATPase-like protein,D89052_at
770,Src-like adapter protein mRNA,D89077_at
771,N-Acetyl-beta-D-glucosaminide,D89289_at
772,PBI gene,D89501_at
773,C-myc binding protein,D89667_at
774,D-aspartate oxidase,D89858_at
775,Zinc finger 5 protein,D89859_at
776,CGM6 Carcinoembryonic antigen gene family member 6 (NCA-95),D90064_at
777,PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1,D90084_at
778,PDHB Pyruvate dehydrogenase (lipoamide) beta,D90086_at
779,ALPHA-AMYLASE 2B PRECURSOR,D90097_at
780,ATF4 CAMP-dependent transcription factor ATF-4 (CREB2),D90209_at
781,TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD),D90224_at
782,CGM7 Carcinoembryonic antigen gene family member 7,D90276_at
783,CPS1 Carbamoyl-phosphate synthetase 1; mitochondrial,D90282_at
784,TRANSCRIPTION INITIATION FACTOR TFIID 250 KD SUBUNIT,D90359_at
785,CYP2E Cytochrome P450; subfamily IIE,H46990_at
786,Serine Kinase Psk-H1,HG1019-HT1019_at
787,Bone Morphogenetic Protein 3,HG1071-HT1071_at
788,Lamin-Like Protein (Gb:M24732),HG1078-HT1078_at
789,Cystatin D,HG1098-HT1098_at
790,Ras-Related C3 Botulinum Toxin Substrate,HG1102-HT1102_at
791,Guanine Nucleotide-Binding Protein Ral; Ras-Oncogene Related,HG1103-HT1103_at
792,Ras-Like Protein Tc21,HG1111-HT1111_at
793,Ras-Like Protein Tc4,HG1112-HT1112_at
794,Proliferating-Cell Nucleolar Antigen; 120 Kda,HG1116-HT1116_at
795,Fk506-Binding Protein; Alt. Splice 2,HG1139-HT4910_at
796,Lipopolysaccharide-Binding Protein,HG1148-HT1148_at
797,Nucleoside Diphosphate Kinase Nm23-H2s,HG1153-HT1153_at
798,Colony-Stimulating Factor 1; Macrophage; Alt. Splice 3,HG1155-HT4822_at
799,Collagen; Type Iv; Alpha 2; N-Terminus,HG1205-HT1205_at
800,Modulator Recognition Factor 2,HG142-HT142_at
801,Utrophin,HG1602-HT1602_at
802,Adrenergic; Beta; Receptor Kinase 2,HG1604-HT1604_at
803,Macmarcks,HG1612-HT1612_at
804,Protein Phosphatase 1; Alpha Catalytic Subunit,HG1614-HT1614_at
805,Elastase 1,HG1649-HT1652_at
806,Spermidine/Spermine N1-Acetyltransferase; Alt. Splice 2,HG172-HT3924_at
807,Macrophage Scavenger Receptor; Alt. Splice 2,HG1723-HT1729_at
808,Moloney Murine Sarcoma Viral Oncogene Homolog,HG1733-HT1748_at
809,Desmoplakin I,HG174-HT174_at
810,Ahnak-A Nucleoprotein Ahnak-A,HG180-HT180_at
811,Ribosomal Protein S20,HG1800-HT1823_at
812,Ornithine Aminotransferase-Like 3,HG1804-HT1829_at
813,Nexin; Glia-Derived,HG1828-HT1857_at
814,Calmodulin Type I,HG1862-HT1897_at
815,Male Enhanced Antigen,HG1869-HT1904_at
816,Major Histocompatibility Complex; Dg,HG1872-HT1907_at
817,Ras-Like Protein Tc10,HG1879-HT1919_at
818,Laminin; A Polypeptide,HG2028-HT2082_at
819,Stimulatory Gdp/Gtp Exchange Protein For C-Ki-Ras P21 And Smg P21,HG2036-HT2090_at
820,Arrestin; Beta 2,HG2059-HT2114_at
821,Zinc Finger Protein 92,HG2152-HT2222_at
822,Translocation-Associated Notch (Drosophila) Homolog 1,HG2161-HT2231_at
823,Protein Kinase Ht31; Camp-Dependent,HG2167-HT2237_at
824,Paired Box Hup1 (Gb:X15042),HG2188-HT2258_at
825,Crystallin; Beta B3 (Gb:X15144),HG2190-HT2260_at
826,Crystallin; Beta B3 (Gb:X15145),HG2191-HT2261_at
827,Crystallin; Beta B,HG2228-HT2305_at
828,Paired Box Hup1 (Gb:X15250),HG2229-HT2306_at
829,Major Intrinsic Protein,HG2247-HT2332_at
830,Antigen; Prostate Specific; Alt. Splice Form 3,HG2261-HT2352_at
831,Atpase; Ca2+ Transporting; Plasma Membrane 1; Alt. Splice 6,HG2264-HT2360_at
832,Rna Polymerase Ii; 14.5 Kda Subunit,HG2274-HT2370_at
833,Triosephosphate Isomerase,HG2279-HT2375_at
834,D-Amino-Acid Oxidase,HG2280-HT2376_at
835,Calcitonin,HG2290-HT2386_at
836,Insulin-Like Growth Factor Ib,HG2309-HT2405_at
837,4-Beta-Galactosyltransferase,HG2314-HT2410_at
838,Integrin; Beta 3 Subunit,HG2320-HT2416_at
839,Retinoic Acid Receptor; Gamma 2,HG2325-HT2421_at
840,Nuclear Factor 1; Variant Hepatic,HG2339-HT2435_at
841,Transcription Factor E2f-2,HG2415-HT2511_at
842,Gal Beta 1;3(4)Glcnac Alpha2;3-Sialyltransferase,HG2416-HT2512_at
843,Dynein; Heavy Chain; Cytoplasmic,HG2417-HT2513_at
844,Tropomyosin; Alpha; Muscle; Alt. Splice 2; Skeletal Muscle (Fibroblast),HG2442-HT2538_at
845,Integrin Beta 1 (Gb:M34189),HG2460-HT2556_at
846,Guanine Nucleotide-Binding Protein G25k,HG2463-HT2559_at
847,Fmlp-Related Receptor I,HG2480-HT2576_at
848,Glutamate Receptor Subunit,HG2492-HT2588_at
849,Potassium Channel; Voltage-Gated Kcnc1,HG2507-HT2603_at
850,Helix-Loop-Helix Protein Delta Max; Alt. Splice 1,HG2525-HT2621_at
851,Adenylyl Cyclase-Associated Protein 2,HG2530-HT2626_at
852,Heterogeneous Nuclear Ribonucleoprotein C,HG2538-HT2634_at
853,Microtubule-Associated Protein Tau; Alt. Splice 5; Exon 4a,HG2566-HT4867_at
854,Zinc Finger Protein Kup (Gb:X16576),HG2573-HT2669_at
855,Estradiol 17-beta dehydrogenase 1,HG25930-HT26386_at
856,Succinate Dehydrogenase; Flavoprotein Subunit,HG2602-HT2698_at
857,Pan-2,HG2604-HT2700_at
858,Collagen; Type Viii; Alpha 1,HG2614-HT2710_at
859,Homeotic Protein Emx1,HG2662-HT2758_at
860,Homeotic Protein Emx2,HG2663-HT2759_at
861,Bradykinin Receptor,HG2668-HT2764_at
862,Ryanodine Receptor 3,HG2686-HT2782_at
863,Mucin 5b; Tracheobronchial (Gb:X74955),HG2689-HT2785_at
864,Lymphocyte Chemoattractant Factor,HG270-HT270_at
865,Serine/Threonine Kinase (Gb:Z25428),HG2706-HT2802_at
866,Serine/Threonine Kinase (Gb:Z25429),HG2707-HT2803_at
867,Serine/Threonine Kinase (Gb:Z25431),HG2709-HT2805_at
868,Tyrosine Kinase (Gb:Z25436),HG2714-HT2810_at
869,Tyrosine Kinase (Gb:Z25437),HG2715-HT2811_at
870,Proto-Oncogene N-Cym,HG2723-HT2819_at
871,Oncogene Tls/Chop; Fusion Activated,HG2724-HT2820_at
872,T-Plastin,HG2755-HT2862_at
873,Calcyclin,HG2788-HT2896_at
874,Neural Cell Adhesion Molecule,HG2796-HT2904_at
875,Homeotic Protein Pl2,HG2810-HT2921_at
876,Ret Transforming Gene,HG2825-HT2949_at
877,Heat Shock Protein; 70 Kda (Gb:Y00371),HG2855-HT2995_at
878,Ribosomal Protein L30 Homolog,HG2873-HT3017_at
879,Ribosomal Protein L39 Homolog,HG2874-HT3018_at
880,Immunoglobulin Heavy Chain; Enhancer Element,HG2936-HT3080_at
881,Beta-Hexosaminidase; Alpha Polypeptide; Abnormal Splice Mutation,HG2992-HT5186_at
882,Adp-Ribosylation-Like Factor,HG3039-HT3200_at
883,Major Histocompatibility Complex; Class I (Gb:L19693),HG3063-HT3224_at
884,Splicing Factor Sc35; Alt Splice Form 3,HG3088-HT3263_at
885,Serine Protease Met1,HG3104-HT3280_at
886,Ribosomal Protein L30,HG311-HT311_at
887,Autoantigen (Gb:S67069),HG3111-HT3287_at
888,Mps1 (Gb:L20314),HG3117-HT3293_at
889,Homeotic Protein Gbx2,HG3123-HT3299_at
890,Cea Family; Bi-Like Domain,HG3132-HT3308_at
891,Zinc Finger Protein Znf81 (Gb:X0729),HG3137-HT3313_at
892,Beta-1-Glycoprotein 11; Pregnancy-Specific,HG315-HT315_at
893,Transcription Factor Iia,HG3162-HT3339_at
894,Carcinoembryonic Antigen,HG3175-HT3352_at
895,Metallopanstimulin 1,HG3214-HT3391_at
896,Guanine Nucleotide-Binding Protein Hsr1,HG3227-HT3404_at
897,Protease Receptor-1; Effector Cell,HG3231-HT3408_at
898,Fibroblast Growth Factor; Antisense Mrna,HG3248-HT3425_at
899,Phosphatidylinositol 3-Kinase P110; Beta Isoform,HG3254-HT3431_at
900,Gamma-Aminobutyric Acid (Gaba) A Receptor Beta 2 Subunit,HG3255-HT3432_at
901,Af-6 (Gb:U02478),HG3264-HT3441_at
902,Crystallin; Alpha A,HG3286-HT3463_at
903,Xanthine Dehydrogenase (Gb:U06117),HG3288-HT3465_at
